Section Name,Route Distance,Distance,Completed?,Notes
Cape Reinga lighthouse  to Kaka St ,0.0,101 km,FALSE,""
"",0,0,FALSE,""
"",1,1,FALSE,""
"",2,2,FALSE,""
"",3,3,FALSE,""
"",4,4,FALSE,""
"",5,5,FALSE,""
"",6,6,FALSE,""
"",7,7,FALSE,""
"",8,8,FALSE,""
"",9,9,FALSE,""
"",10,10,FALSE,""
"",11,11,FALSE,""
"",12,12,FALSE,""
"",13,13,FALSE,""
"",14,14,FALSE,""
"",15,15,FALSE,""
"",16,16,FALSE,""
"",17,17,FALSE,""
"",18,18,FALSE,""
"",19,19,FALSE,""
"",20,20,FALSE,""
"",21,21,FALSE,""
"",22,22,FALSE,""
"",23,23,FALSE,""
"",24,24,FALSE,""
"",25,25,FALSE,""
"",26,26,FALSE,""
"",27,27,FALSE,""
"",28,28,FALSE,""
"",29,29,FALSE,""
"",30,30,FALSE,""
"",31,31,FALSE,""
"",32,32,FALSE,""
"",33,33,FALSE,""
"",34,34,FALSE,""
"",35,35,FALSE,""
"",36,36,FALSE,""
"",37,37,FALSE,""
"",38,38,FALSE,""
"",39,39,FALSE,""
"",40,40,FALSE,""
"",41,41,FALSE,""
"",42,42,FALSE,""
"",43,43,FALSE,""
"",44,44,FALSE,""
"",45,45,FALSE,""
"",46,46,FALSE,""
"",47,47,FALSE,""
"",48,48,FALSE,""
"",49,49,FALSE,""
"",50,50,FALSE,""
"",51,51,FALSE,""
"",52,52,FALSE,""
"",53,53,FALSE,""
"",54,54,FALSE,""
"",55,55,FALSE,""
"",56,56,FALSE,""
"",57,57,FALSE,""
"",58,58,FALSE,""
"",59,59,FALSE,""
"",60,60,FALSE,""
"",61,61,FALSE,""
"",62,62,FALSE,""
"",63,63,FALSE,""
"",64,64,FALSE,""
"",65,65,FALSE,""
"",66,66,FALSE,""
"",67,67,FALSE,""
"",68,68,FALSE,""
"",69,69,FALSE,""
"",70,70,FALSE,""
"",71,71,FALSE,""
"",72,72,FALSE,""
"",73,73,FALSE,""
"",74,74,FALSE,""
"",75,75,FALSE,""
"",76,76,FALSE,""
"",77,77,FALSE,""
"",78,78,FALSE,""
"",79,79,FALSE,""
"",80,80,FALSE,""
"",81,81,FALSE,""
"",82,82,FALSE,""
"",83,83,FALSE,""
"",84,84,FALSE,""
"",85,85,FALSE,""
"",86,86,FALSE,""
"",87,87,FALSE,""
"",88,88,FALSE,""
"",89,89,FALSE,""
"",90,90,FALSE,""
"",91,91,FALSE,""
"",92,92,FALSE,""
"",93,93,FALSE,""
"",94,94,FALSE,""
"",95,95,FALSE,""
"",96,96,FALSE,""
"",97,97,FALSE,""
"",98,98,FALSE,""
"",99,99,FALSE,""
"",100,100,FALSE,""
Kaka St  to Puketi Rec Centre ,100.783165,104 km,FALSE,""
"",101,0.216835,FALSE,""
"",102,1.216835,FALSE,""
"",103,2.216835,FALSE,""
"",104,3.216835,FALSE,""
"",105,4.216835,FALSE,""
"",106,5.216835,FALSE,""
"",107,6.216835,FALSE,""
"",108,7.216835,FALSE,""
"",109,8.216835,FALSE,""
"",110,9.216835,FALSE,""
"",111,10.216835,FALSE,""
"",112,11.216835,FALSE,""
"",113,12.216835,FALSE,""
"",114,13.216835,FALSE,""
"",115,14.216835,FALSE,""
"",116,15.216835,FALSE,""
"",117,16.216835,FALSE,""
"",118,17.216835,FALSE,""
"",119,18.216835,FALSE,""
"",120,19.216835,FALSE,""
"",121,20.216835,FALSE,""
"",122,21.216835,FALSE,""
"",123,22.216835,FALSE,""
"",124,23.216835,FALSE,""
"",125,24.216835,FALSE,""
"",126,25.216835,FALSE,""
"",127,26.216835,FALSE,""
"",128,27.216835,FALSE,""
"",129,28.216835,FALSE,""
"",130,29.216835,FALSE,""
"",131,30.216835,FALSE,""
"",132,31.216835,FALSE,""
"",133,32.216835,FALSE,""
"",134,33.216835,FALSE,""
"",135,34.216835,FALSE,""
"",136,35.216835,FALSE,""
"",137,36.216835,FALSE,""
"",138,37.216835,FALSE,""
"",139,38.216835,FALSE,""
"",140,39.216835,FALSE,""
"",141,40.216835,FALSE,""
"",142,41.216835,FALSE,""
"",143,42.216835,FALSE,""
"",144,43.216835,FALSE,""
"",145,44.216835,FALSE,""
"",146,45.216835,FALSE,""
"",147,46.216835,FALSE,""
"",148,47.216835,FALSE,""
"",149,48.216835,FALSE,""
"",150,49.216835,FALSE,""
"",151,50.216835,FALSE,""
"",152,51.216835,FALSE,""
"",153,52.216835,FALSE,""
"",154,53.216835,FALSE,""
"",155,54.216835,FALSE,""
"",156,55.216835,FALSE,""
"",157,56.216835,FALSE,""
"",158,57.216835,FALSE,""
"",159,58.216835,FALSE,""
"",160,59.216835,FALSE,""
"",161,60.216835,FALSE,""
"",162,61.216835,FALSE,""
"",163,62.216835,FALSE,""
"",164,63.216835,FALSE,""
"",165,64.216835,FALSE,""
"",166,65.216835,FALSE,""
"",167,66.216835,FALSE,""
"",168,67.216835,FALSE,""
"",169,68.216835,FALSE,""
"",170,69.216835,FALSE,""
"",171,70.216835,FALSE,""
"",172,71.216835,FALSE,""
"",173,72.216835,FALSE,""
"",174,73.216835,FALSE,""
"",175,74.216835,FALSE,""
"",176,75.216835,FALSE,""
"",177,76.216835,FALSE,""
"",178,77.216835,FALSE,""
"",179,78.216835,FALSE,""
"",180,79.216835,FALSE,""
"",181,80.216835,FALSE,""
"",182,81.216835,FALSE,""
"",183,82.216835,FALSE,""
"",184,83.216835,FALSE,""
"",185,84.216835,FALSE,""
"",186,85.216835,FALSE,""
"",187,86.216835,FALSE,""
"",188,87.216835,FALSE,""
"",189,88.216835,FALSE,""
"",190,89.216835,FALSE,""
"",191,90.216835,FALSE,""
"",192,91.216835,FALSE,""
"",193,92.216835,FALSE,""
"",194,93.216835,FALSE,""
"",195,94.216835,FALSE,""
"",196,95.216835,FALSE,""
"",197,96.216835,FALSE,""
"",198,97.216835,FALSE,""
"",199,98.216835,FALSE,""
"",200,99.216835,FALSE,""
"",201,100.216835,FALSE,""
"",202,101.216835,FALSE,""
"",203,102.216835,FALSE,""
"",204,103.216835,FALSE,""
"",205,104.216835,FALSE,""
Puketi Rec Centre  to Stone Store ,205.06798,25 km,FALSE,""
"",206,0.93202,FALSE,""
"",207,1.93202,FALSE,""
"",208,2.93202,FALSE,""
"",209,3.93202,FALSE,""
"",210,4.93202,FALSE,""
"",211,5.93202,FALSE,""
"",212,6.93202,FALSE,""
"",213,7.93202,FALSE,""
"",214,8.93202,FALSE,""
"",215,9.93202,FALSE,""
"",216,10.93202,FALSE,""
"",217,11.93202,FALSE,""
"",218,12.93202,FALSE,""
"",219,13.93202,FALSE,""
"",220,14.93202,FALSE,""
"",221,15.93202,FALSE,""
"",222,16.93202,FALSE,""
"",223,17.93202,FALSE,""
"",224,18.93202,FALSE,""
"",225,19.93202,FALSE,""
"",226,20.93202,FALSE,""
"",227,21.93202,FALSE,""
"",228,22.93202,FALSE,""
"",229,23.93202,FALSE,""
Stone Store  to Waitangi Bridge ,229.98558,20 km,FALSE,""
"",230,0.01442,FALSE,""
"",231,1.01442,FALSE,""
"",232,2.01442,FALSE,""
"",233,3.01442,FALSE,""
"",234,4.01442,FALSE,""
"",235,5.01442,FALSE,""
"",236,6.01442,FALSE,""
"",237,7.01442,FALSE,""
"",238,8.01442,FALSE,""
"",239,9.01442,FALSE,""
"",240,10.01442,FALSE,""
"",241,11.01442,FALSE,""
"",242,12.01442,FALSE,""
"",243,13.01442,FALSE,""
"",244,14.01442,FALSE,""
"",245,15.01442,FALSE,""
"",246,16.01442,FALSE,""
"",247,17.01442,FALSE,""
"",248,18.01442,FALSE,""
"",249,19.01442,FALSE,""
"",250,20.01442,FALSE,""
Waitangi Bridge  to Opua Wharf ,250.1333,9 km,FALSE,""
"",251,0.8667,FALSE,""
